epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.28731,1.60318,3.35392,1.85052,0.00539,1,0.1715,0.08141,1.46675,3.18784,1.68541,5.001e-05,5.001e-05,5.001e-05
2,4.10864,1.78523,3.50559,1.99465,0.00576,1,0.08955,0.0399,1.34277,3.20095,1.59271,0.00011438,0.00011438,0.00011438
3,4.94477,1.16702,3.09717,1.5057,0.0071,1,0.51593,0.28289,0.58406,3.04557,1.01473,0.000176109,0.000176109,0.000176109
4,5.82465,0.79918,2.39662,1.19131,0.00771,1,0.95108,0.74653,0.57877,2.79206,0.8623,0.000235197,0.000235197,0.000235197
5,8.65437,0.76332,1.93788,1.08102,0.00858,1,0.995,0.72071,0.46773,2.63131,0.79642,0.000291645,0.000291645,0.000291645
6,11.6588,0.8144,1.83209,1.1357,0.00951,1,0.96725,0.66144,0.47375,2.69464,0.80552,0.000345452,0.000345452,0.000345452
7,12.4965,0.7371,1.54709,1.06352,0.00939,1,0.79477,0.68979,0.40283,2.64971,0.77994,0.000396619,0.000396619,0.000396619
8,13.3248,0.61079,1.2628,1.01167,0.15701,1,0.75074,0.67759,0.40845,2.50059,0.77476,0.000445146,0.000445146,0.000445146
9,14.1677,0.71296,1.17376,1.04329,1,0.44454,0.88825,0.79177,0.42319,2.45014,0.77701,0.000491032,0.000491032,0.000491032
10,18.9981,0.77331,1.17911,1.08416,0.00597,1,0.87867,0.68733,0.51031,2.56992,0.80608,0.000534277,0.000534277,0.000534277
11,19.9916,0.76319,1.33387,1.09068,0.68486,0.93153,0.80594,0.75069,0.4113,2.39913,0.78339,0.000574882,0.000574882,0.000574882
12,20.8228,0.71829,1.22264,1.05363,0.89969,0.5,0.9152,0.83531,0.48233,2.22021,0.79122,0.000612846,0.000612846,0.000612846
13,21.6863,0.63809,1.09806,0.97994,0.77893,0.5,0.84226,0.70714,0.57231,2.03859,0.84468,0.00064817,0.00064817,0.00064817
14,23.8843,0.68015,1.05339,1.017,0.98015,0.5,0.81337,0.68083,0.54759,1.79694,0.83597,0.000680853,0.000680853,0.000680853
15,27.5009,0.70584,1.15396,0.99769,0.98937,0.5,0.74753,0.69044,0.44113,1.72419,0.80091,0.000710895,0.000710895,0.000710895
16,28.3051,0.67385,1.1048,0.98315,1,0.67695,0.84417,0.72652,0.44127,1.78895,0.80091,0.000738298,0.000738298,0.000738298
17,29.1123,0.73994,1.0796,1.08149,0.96854,0.78571,0.86988,0.72998,0.52207,1.66887,0.84149,0.000763059,0.000763059,0.000763059
18,29.9523,0.59468,0.98369,0.98698,0.87304,0.49216,0.71447,0.64805,0.41935,1.92265,0.76781,0.00078518,0.00078518,0.00078518
