epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.73261,3.38135,4.71794,3.43945,0.00501,1,0.02356,0.00582,3.88271,4.50523,3.72413,5.001e-05,5.001e-05,5.001e-05
2,4.52273,3.25778,4.5869,3.31745,0.00513,1,0.02159,0.00519,3.36484,4.41988,3.48809,0.00011438,0.00011438,0.00011438
3,5.33573,2.84517,4.26593,3.15403,0.00564,1,0.06411,0.02028,2.43686,3.81703,2.94793,0.000176109,0.000176109,0.000176109
4,6.16883,2.41162,3.8262,2.70377,0.00737,1,0.0804,0.02148,2.34784,3.87519,2.73511,0.000235197,0.000235197,0.000235197
5,7.06411,2.03585,3.50533,2.36391,0.00733,0.92308,0.05347,0.01279,2.3491,3.76957,2.65582,0.000291645,0.000291645,0.000291645
6,7.97976,1.81093,3.35197,2.19924,0.00743,1,0.06553,0.01639,2.50526,3.63014,2.76728,0.000345452,0.000345452,0.000345452
7,8.9222,1.70631,2.9927,2.09412,0.00742,1,0.12537,0.0294,2.54827,3.51663,2.96491,0.000396619,0.000396619,0.000396619
8,9.83632,1.72589,2.7955,2.2127,0.00725,1,0.48757,0.31297,2.14429,3.30047,2.8742,0.000445146,0.000445146,0.000445146
9,10.7556,1.66745,2.57489,2.09326,0.00713,1,0.05702,0.01753,2.35845,3.51989,3.21922,0.000491032,0.000491032,0.000491032
10,11.6321,1.65123,2.7496,2.08137,0.00716,1,0.12288,0.05029,2.23007,3.37997,3.14362,0.000534277,0.000534277,0.000534277
11,12.4928,1.5949,2.74477,1.94917,0.00724,1,0.27487,0.10872,2.19462,3.32704,3.38854,0.000574882,0.000574882,0.000574882
12,13.3499,1.63545,2.38956,1.90847,0.00721,1,0.3094,0.12675,2.25855,3.39622,3.14449,0.000612846,0.000612846,0.000612846
13,14.2006,1.38409,2.30918,1.80728,0.59385,0.61538,0.65287,0.3049,2.00084,3.35477,3.13593,0.00064817,0.00064817,0.00064817
14,15.05,1.47657,2.13173,1.83375,0.97626,0.69231,0.83467,0.39587,2.0962,3.49108,3.10542,0.000680853,0.000680853,0.000680853
15,15.922,1.4157,2.12604,1.76925,0.74496,0.69231,0.80997,0.28547,2.72159,5.86443,3.48294,0.000710895,0.000710895,0.000710895
16,16.767,1.46846,2.14682,1.75988,0.61812,0.76923,0.72679,0.20331,3.14591,6.12914,4.2627,0.000738298,0.000738298,0.000738298
17,17.6109,1.40328,1.9891,1.70115,0.68558,0.38462,0.50571,0.21072,2.79931,3.74627,3.70479,0.000763059,0.000763059,0.000763059
18,18.4558,1.37362,2.02265,1.65546,0.00828,1,0.243,0.17966,2.08114,4.03725,3.21918,0.00078518,0.00078518,0.00078518
19,19.2872,1.3272,1.89346,1.64163,0.89948,0.38462,0.45774,0.35505,2.12884,3.57992,3.39411,0.000804661,0.000804661,0.000804661
20,20.1173,1.37536,2.12205,1.70754,0.6858,0.38462,0.32817,0.16164,2.08478,3.17799,3.46373,0.000821501,0.000821501,0.000821501
21,20.9622,1.36404,1.99642,1.70385,0.70266,0.36583,0.34824,0.17948,2.03826,2.9457,3.24219,0.0008357,0.0008357,0.0008357
22,21.7936,1.24215,1.86126,1.63486,0.67206,0.38462,0.44402,0.34643,1.92995,2.82046,3.16873,0.000847259,0.000847259,0.000847259
23,22.6219,1.18962,1.68089,1.61031,0.78854,0.57571,0.66872,0.51712,1.85381,2.71806,3.05103,0.000856178,0.000856178,0.000856178
24,23.4754,1.25044,1.6239,1.68007,0.79738,0.60631,0.77493,0.48168,2.04304,2.31251,3.39302,0.000862456,0.000862456,0.000862456
25,24.311,1.27145,1.63397,1.64839,0.80737,0.61538,0.73514,0.47846,2.03271,2.29862,3.42363,0.000866093,0.000866093,0.000866093
26,25.1394,1.20346,1.6173,1.54912,0.84214,0.38462,0.59149,0.44788,1.8627,3.02147,2.92703,0.000841835,0.000841835,0.000841835
27,25.9689,1.18541,1.65378,1.5045,0.94611,0.38462,0.51565,0.42275,1.95962,3.38706,3.03306,0.000808828,0.000808828,0.000808828
28,26.8061,1.18971,1.67698,1.5565,0.95729,0.38462,0.58635,0.48985,1.922,3.1759,2.89003,0.000775822,0.000775822,0.000775822
29,27.649,1.10804,1.45191,1.48263,0.71869,0.61538,0.62684,0.51165,1.72487,3.16944,2.48677,0.000742815,0.000742815,0.000742815
30,28.4773,1.13663,1.58129,1.46719,0.77199,0.61538,0.61129,0.46121,1.69903,3.2001,2.44844,0.000709809,0.000709809,0.000709809
