epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.319,0.5087,3.06746,1.04698,0.00539,1,0.48709,0.29881,0.30725,2.86261,0.79535,5.001e-05,5.001e-05,5.001e-05
2,4.12823,0.48398,3.0234,1.0182,0.00635,1,0.73412,0.6591,0.1493,2.84474,0.74086,0.00011438,0.00011438,0.00011438
3,5.00219,0.36038,2.35284,0.92303,0.00816,1,0.995,0.96035,0.21658,2.71817,0.73624,0.000176109,0.000176109,0.000176109
4,5.89269,0.3712,1.51341,0.90322,0.99434,1,0.995,0.98247,0.22687,2.30637,0.73152,0.000235197,0.000235197,0.000235197
5,9.36568,0.37401,1.12763,0.89499,0.01365,1,0.995,0.94671,0.3051,2.42887,0.75847,0.000291645,0.000291645,0.000291645
6,11.7133,0.37988,1.09075,0.89966,0.01246,1,0.995,0.95559,0.26435,2.5641,0.75105,0.000345452,0.000345452,0.000345452
7,12.5238,0.38872,0.93341,0.89174,0.01009,1,0.995,0.95071,0.33149,2.49264,0.77659,0.000396619,0.000396619,0.000396619
8,13.3565,0.44672,0.92078,0.92388,1,0.46844,0.995,0.9653,0.3082,2.38089,0.7704,0.000445146,0.000445146,0.000445146
9,14.5238,0.37831,0.86269,0.87429,1,0.55894,0.995,0.94788,0.29897,2.14775,0.77264,0.000491032,0.000491032,0.000491032
10,19.2233,0.44662,0.90346,0.94125,1,0.56741,0.97212,0.94624,0.31263,1.97794,0.77334,0.000534277,0.000534277,0.000534277
11,20.0752,0.43842,0.86524,0.9544,1,0.56427,0.83444,0.81044,0.28181,2.08537,0.76095,0.000574882,0.000574882,0.000574882
12,20.9123,0.4337,0.8455,0.90795,1,0.56361,0.75791,0.69307,0.32359,2.24098,0.77791,0.000612846,0.000612846,0.000612846
13,21.7839,0.41684,0.8037,0.8885,1,0.56381,0.78152,0.72625,0.35232,2.27232,0.80032,0.00064817,0.00064817,0.00064817
14,24.8067,0.4123,0.76951,0.89664,0.97855,0.5,0.67494,0.62395,0.30704,2.37356,0.77845,0.000680853,0.000680853,0.000680853
15,27.6209,0.4259,0.79632,0.87,0.94611,0.5,0.64272,0.5773,0.29876,2.61516,0.80588,0.000710895,0.000710895,0.000710895
16,28.4669,0.38197,0.78916,0.88168,0.95556,0.5,0.60983,0.54758,0.30537,2.66091,0.79658,0.000738298,0.000738298,0.000738298
17,29.2719,0.43636,0.79923,0.94934,0.93717,0.5,0.60601,0.55402,0.30375,2.69348,0.77946,0.000763059,0.000763059,0.000763059
18,30.0914,0.41923,0.78309,0.89478,0.98307,0.5,0.75375,0.73927,0.29666,2.28571,0.78457,0.00078518,0.00078518,0.00078518
19,30.9393,0.39132,0.73437,0.88418,0.99059,0.5,0.76582,0.74327,0.29089,2.11304,0.7758,0.000804661,0.000804661,0.000804661
20,34.91,0.37791,0.79032,0.91457,0.99285,0.5,0.77185,0.73384,0.33568,2.17728,0.78936,0.000821501,0.000821501,0.000821501
21,36.7889,0.4165,0.77178,0.93384,1,0.56787,0.91736,0.90338,0.31385,2.12109,0.78218,0.0008357,0.0008357,0.0008357
22,37.6042,0.44505,0.75163,0.91584,1,0.56548,0.86243,0.82754,0.31322,2.27216,0.79672,0.000847259,0.000847259,0.000847259
23,38.4624,0.40172,0.75034,0.88599,0.99146,0.5,0.67622,0.61792,0.32604,2.21725,0.78959,0.000856178,0.000856178,0.000856178
